customer_id,purchase_date,phone_model,storage_capacity,color,price_paid,trade_in_model,age,gender,income_bracket,education_level,occupation,location_type,city_region,previous_brand_loyalty,upgrade_frequency,customer_type,purchase_channel,feedback_sentiment,user_feedback
C001,2024-03-15,Samsung Galaxy S24,256GB,Phantom Black,899,iPhone 13,34,Male,75000-100000,Bachelor,Technology & Data,Urban,San Francisco Bay Area,Mixed,2 years,Returning,Online,positive,"I have to say, quality is great for the price. The battery life is really good."
C002,2024-03-22,iPhone 16,128GB,Black,799,Samsung Galaxy S22,29,Female,100000-150000,Master,,Suburban,Dallas-Fort Worth,Apple,3 years,Returning,Apple Store,neutral,This phone is it's a decent phone but nothing special. Fine for everyday tasks but not for heavy usage.
C003,2024-03-18,Google Pixel 8,128GB,Obsidian,699,iPhone 12,42,Male,50000-75000,High School,Construction & Trades,Rural,Central Valley CA,Mixed,4 years,New,Electronics Retailer,positive,"I'm really impressed, really happy with this purchase. Couldn't be happier with it."
C004,2024-04-02,iPhone 15,256GB,Blue,899,iPhone 11,38,Female,150000+,PhD,,Urban,Boston,Apple,3 years,Returning,Apple Store,neutral,"this does the job but has some limitations. Acceptable performance, could be faster though. Not bad, not amazing either."
C005,2024-03-25,iPhone 16,256GB,Pink,899,Google Pixel 7,31,Female,75000-100000,Master,,Urban,Chicago,Mixed,2 years,New,Apple Store,positive, quality is great for the price. The battery life is really good. Happy customer here!
C006,2024-04-10,Samsung Galaxy S23,128GB,Cream,749,Samsung Galaxy S21,45,Male,50000-75000,Associate,Retail & Customer Service,Suburban,Phoenix,Samsung,3 years,Returning,Carrier Store,negative,this phone has been nothing but trouble. It gets really hot during normal use. Two stars at most.
C007,2024-03-28,iPhone 16,128GB,Blue,799,OnePlus 11,27,Male,100000-150000,Bachelor,Technology & Data,Urban,Seattle,Mixed,2 years,New,Online,positive,"I have to say, been using it for months with no issues. Camera takes decent photos. Couldn't be happier with it."
C008,2024-04-15,OnePlus 12,256GB,Flowy Emerald,799,iPhone 13 mini,33,Female,75000-100000,Bachelor,Sales & Marketing,Urban,Atlanta,Mixed,2 years,Returning,Electronics Retailer,positive,quality is great for the price. Signal reception is strong. Couldn't be happier with it.
C009,2024-04-08,iPhone 15 Plus,256GB,Pink,999,iPhone 12,26,Female,50000-75000,Bachelor,Education,Suburban,Orlando,Apple,4 years,Returning,Carrier Store,negative,I regret buying this phone. Build quality feels cheap and flimsy. Definitely my last purchase from this brand.
C010,2024-04-22,iPhone 16,256GB,White,899,Samsung Galaxy A54,35,Male,100000-150000,Master,Medical & Healthcare,Suburban,Houston,Mixed,3 years,New,Apple Store,positive,impressed with how well it performs.
C011,2024-05-03,Samsung Galaxy A55,128GB,Awesome Navy,449,iPhone XR,52,Female,25000-50000,High School,Administrative & Support,Rural,Midwest,Mixed,5 years,Returning,Carrier Store,positive,this phone does everything I need. Screen quality is excellent.
C012,2024-04-18,Google Pixel 8 Pro,256GB,Bay,999,Samsung Galaxy S22,39,Male,150000+,Master,Technology & Data,Urban,San Francisco Bay Area,Mixed,2 years,Returning,Online,negative,"Really disappointed because I've had constant problems with it. Camera quality is poor, especially in low light. Really wish I had chosen something else."
C013,2024-05-10,iPhone 16,128GB,Pink,799,iPhone 11,28,Female,75000-100000,Bachelor,Medical & Healthcare,Suburban,Denver,Apple,3 years,Returning,Apple Store,negative,"Unfortunately, this doesn't live up to the hype. The interface is confusing and unintuitive. Two stars at most."
C014,2024-04-25,Xiaomi 14,256GB,Black,699,OnePlus 10,24,Male,50000-75000,Bachelor,Media & Creative,Urban,Portland,Mixed,2 years,New,Electronics Retailer,positive,"Overall, works exactly as advertised. Interface is smooth and intuitive. Will probably buy another one."
C015,2024-05-15,iPhone 15,128GB,Yellow,699,iPhone 13,41,Male,100000-150000,Master,Finance & Investment,Suburban,Miami,Apple,3 years,Returning,Apple Store,positive,"To be honest, works exactly as advertised. Build quality feels premium. Highly recommended."
C016,2024-05-08,Samsung Galaxy S24 Ultra,512GB,Titanium Gray,1299,iPhone 14 Pro,36,Female,150000+,PhD,Research & Development,Urban,Austin,Mixed,2 years,Returning,Online,neutral,"Overall, it meets basic expectations."
C017,2024-05-22,iPhone 16,256GB,Black,899,Google Pixel 6,32,Male,100000-150000,Master,Medical & Healthcare,Urban,Los Angeles,Mixed,2 years,New,Apple Store,positive,everything works perfectly. The battery life is really good.
C018,2024-06-01,Google Pixel 8a,128GB,Porcelain,499,Samsung Galaxy A52,29,Female,50000-75000,Associate,Social Services,Rural,Southeast,Mixed,4 years,New,Carrier Store,positive,"I have to say, impressed with how well it performs. Hasn't given me any problems."
C019,2024-05-28,iPhone 15 Pro,256GB,Natural Titanium,1099,iPhone 12 Pro,44,Male,150000+,Master,Finance & Investment,Urban,New York,Apple,2 years,Returning,Apple Store,negative,"After a few weeks, the quality is not what I expected. Would not recommend this to anyone."
C020,2024-06-10,Samsung Galaxy Z Flip5,256GB,Mint,999,iPhone 13,25,Female,75000-100000,Bachelor,Media & Creative,Urban,Miami,Mixed,2 years,Returning,Online,negative,"I hate to say it, but the quality is not what I expected. Build quality feels cheap and flimsy. Look for alternatives before buying this."
C021,2024-06-05,iPhone 16,128GB,White,799,Samsung Galaxy S21,30,Female,75000-100000,Master,Medical & Healthcare,Suburban,Charlotte,Mixed,3 years,New,Apple Store,positive,really happy with this purchase. Great value for money.
C022,2024-06-18,Nothing Phone 2,256GB,Dark Gray,449,Google Pixel 5,26,Male,50000-75000,Bachelor,Technology & Data,Urban,San Francisco Bay Area,Mixed,3 years,New,Electronics Retailer,negative,"I hate to say it, but the performance is really disappointing. It freezes and crashes frequently."
C023,2024-06-12,iPhone 15,256GB,Green,899,iPhone 11,37,Female,100000-150000,Master,Medical & Healthcare,Suburban,Nashville,Apple,4 years,Returning,Apple Store,negative,"After a few weeks, this has been a frustrating experience. It freezes and crashes frequently."
C024,2024-06-25,OnePlus 12,128GB,Silky Black,699,Samsung Galaxy S20,33,Male,75000-100000,Bachelor,Engineering & Technology,Urban,Seattle,Mixed,3 years,Returning,Online,positive,"After using this for a while, impressed with how well it performs. Great choice if you're looking for reliability."
C025,2024-07-02,iPhone 16,256GB,Blue,899,OnePlus 10T,29,Male,100000-150000,Master,Medical & Healthcare,Urban,Chicago,Mixed,2 years,New,Apple Store,positive,"Overall, the performance is solid. Great choice if you're looking for reliability."
C026,2024-06-28,Samsung Galaxy A35,128GB,Awesome Lilac,399,iPhone SE 2020,48,Female,25000-50000,High School,Retail & Customer Service,Rural,South,Samsung,5 years,Returning,Carrier Store,positive,really happy with this purchase. The battery life is really good.
C027,2024-07-15,Google Pixel 8,256GB,Hazel,749,iPhone 12,31,Female,75000-100000,Bachelor,Business & Management,Urban,Denver,Mixed,2 years,Returning,Online,negative,"I expected better, but the performance is really disappointing. The software is buggy and slow."
C028,2024-07-08,iPhone 15 Plus,128GB,Blue,799,iPhone 13,35,Male,100000-150000,Master,Engineering & Technology,Suburban,Dallas-Fort Worth,Apple,3 years,Returning,Apple Store,negative,this has been a frustrating experience. The interface is confusing and unintuitive. Two stars at most.
C029,2024-07-22,Samsung Galaxy S24,128GB,Marble Gray,799,Samsung Galaxy S22,40,Female,75000-100000,Bachelor,Human Resources,Suburban,Phoenix,Samsung,2 years,Returning,Carrier Store,positive,"I have to say, this phone does everything I need. Interface is smooth and intuitive. Five stars from me."
C030,2024-07-18,iPhone 16,128GB,Pink,799,Google Pixel 7a,27,Female,75000-100000,Bachelor,Medical & Healthcare,Suburban,Atlanta,Mixed,3 years,New,Apple Store,neutral,it's a decent phone but nothing special. Good value but don't expect premium features. Gets the job done.
C031,2024-08-05,Motorola Edge 40,256GB,Lunar Blue,599,iPhone 11,34,Male,50000-75000,Associate,Transportation & Logistics,Rural,Midwest,Mixed,4 years,New,Electronics Retailer,negative,"Unfortunately, the performance is really disappointing. It gets really hot during normal use. Save your money and look elsewhere."
C032,2024-07-30,iPhone 15 Pro Max,512GB,Blue Titanium,1399,iPhone 13 Pro Max,42,Male,150000+,Master,Legal,Urban,New York,Apple,2 years,Returning,Apple Store,negative,"To be honest, I regret buying this phone. The interface is confusing and unintuitive."
C033,2024-08-12,Google Pixel 8 Pro,128GB,Obsidian,999,Samsung Galaxy S23,38,Female,100000-150000,PhD,Technology & Data,Urban,San Francisco Bay Area,Mixed,2 years,Returning,Online,positive,"Honestly, been using it for months with no issues. The battery life is really good. "
C034,2024-08-08,iPhone 16,256GB,White,899,Samsung Galaxy Note 20,33,Male,100000-150000,Master,,Suburban,Houston,Mixed,3 years,New,Apple Store,positive,"Honestly, this phone exceeded my expectations. Great value for money. Five stars from me."
C035,2024-08-25,Samsung Galaxy A54,256GB,Awesome Graphite,499,iPhone XS,39,Female,50000-75000,Bachelor,Education,Rural,Southeast,Mixed,4 years,Returning,Carrier Store,positive,"To be honest, impressed with how well it performs. Great value for money. Couldn't be happier with it."
C036,2024-08-18,iPhone 15,128GB,Pink,699,iPhone 12 mini,28,Female,75000-100000,Bachelor,Medical & Healthcare,Urban,Los Angeles,Apple,3 years,Returning,Apple Store,negative,the reliability is just not there. Build quality feels cheap and flimsy. Two stars at most.
C037,2024-09-02,OnePlus 11,256GB,Titan Black,649,Google Pixel 6 Pro,32,Male,75000-100000,Master,Technology & Data,Urban,Austin,Mixed,2 years,Returning,Online,negative,there are too many problems to ignore. It freezes and crashes frequently.
C038,2024-08-28,iPhone 16,128GB,Black,799,iPhone 11,26,Male,75000-100000,Bachelor,,Suburban,Orlando,Mixed,4 years,New,Apple Store,neutral,This phone is it meets basic expectations. Decent features but nothing that stands out. Would work for someone with basic needs.
C039,2024-09-15,Xiaomi 14 Ultra,512GB,White,1199,Samsung Galaxy S24 Ultra,35,Male,150000+,PhD,Research & Development,Urban,Seattle,Mixed,2 years,Returning,Electronics Retailer,negative,this has been a frustrating experience. It freezes and crashes frequently. Look for alternatives before buying this.
C040,2024-09-08,iPhone 15 Plus,256GB,Yellow,999,iPhone 13 Plus,43,Female,100000-150000,Master,Business & Management,Suburban,Denver,Apple,3 years,Returning,Apple Store,negative,"I expected better, but I've had constant problems with it. It freezes and crashes frequently."
C041,2024-09-22,Samsung Galaxy Z Fold5,512GB,Icy Blue,1799,iPhone 14 Pro Max,41,Male,150000+,Master,Finance & Investment,Urban,Miami,Mixed,2 years,Returning,Online,positive,impressed with how well it performs. Would definitely recommend!
C042,2024-09-18,iPhone 16,256GB,Blue,899,Google Pixel 8,30,Female,100000-150000,Master,Medical & Healthcare,Suburban,Charlotte,Mixed,2 years,New,Apple Store,neutral,"it works fine for basic needs. Acceptable performance, could be faster though."
